Vernier Format 2
Файл.gmbl 07.12.2019 14:02:04 ,
Новый
Время	Угол	Скорость	Ускорение
t	Угол	v	a
с	rad	rad/с	rad/с²

0	0	0	0
0,01	0	0	0
0,02	0	0	0
0,03	0	0	0
0,04	0	0	0
0,05	0	0	0
0,06	0	0	0
0,07	0	0	0
0,08	0	0	0
0,09	0	0	0
0,1	0	0	0
0,11	0	0	0
0,12	0	0	0
0,13	0	0	0
0,14	0	0	0
0,15	0	0	0
0,16	0	0	0
0,17	0	0	0
0,18	0	0	0
0,19	0	0	0
0,2	0	0	0
0,21	0	0	0
0,22	0	0	0
0,23	0	0	0
0,24	0	0	0
0,25	0	0	0
0,26	0	0	0
0,27	0	0	0
0,28	0	0	0
0,29	0	0	0
0,3	0	0	0
0,31	0	0	0
0,32	0	0	0
0,33	0	0	0
0,34	0	0	0
0,35	0	0	0
0,36	0	0	0
0,37	0	0	0
0,38	0	0	0
0,39	0	0	0
0,4	0	0	0
0,41	0	0	0
0,42	0	0	0
0,43	0	0	0
0,44	0	0	0
0,45	0	0	0
0,46	0	0	0
0,47	0	0	0
0,48	0	0	0
0,49	0	0	0
0,5	0	0	0
0,51	0	0	0
0,52	0	0	0
0,53	0	0	0
0,54	0	0	0
0,55	0	0	0
0,56	0	0	0
0,57	0	0	0
0,58	0	0	0
0,59	0	0	0
0,6	0	0	0
0,61	0	0	0
0,62	0	0	0
0,63	0	0	0
0,64	0	0	0
0,65	0	0	0
0,66	0	0	0
0,67	0	0	0
0,68	0	0	0
0,69	0	0	0
0,7	0	0	0
0,71	0	0	0
0,72	0	0	0
0,73	0	0	0
0,74	0	0	0
0,75	0	0	0
0,76	0	0	0
0,77	0	0	0
0,78	0	0	0
0,79	0	0	0
0,8	0	0	0
0,81	0	0	0
0,82	0	0	0
0,83	0	0	0
0,84	0	0	0
0,85	0	0	0
0,86	0	0	0
0,87	0	0	0
0,88	0	0	0
0,89	0	0	0
0,9	0	0	0
0,91	0	0	0
0,92	0	0	0
0,93	0	0	0
0,94	0	0	0
0,95	0	0	0
0,96	0	0	0
0,97	0	0	0
0,98	0	0	0
0,99	0	0	0
1	0	0	0
1,01	0	0	0
1,02	0	0	0
1,03	0	0	0
1,04	0	0	0
1,05	0	0	0
1,06	0	0	0
1,07	0	0	0
1,08	0	0	0
1,09	0	0	0
1,1	0	0	0
1,11	0	0	0
1,12	0	0	0
1,13	0	0	0
1,14	0	0	0
1,15	0	0	0
1,16	0	0	0
1,17	0	0	0
1,18	0	0	0
1,19	0	0	0
1,2	0	0	0
1,21	0	0	0
1,22	0	0	0
1,23	0	0	0
1,24	0	0	0
1,25	0	0	0
1,26	0	0	0
1,27	0	0	0
1,28	0	0	-0,134670466975
1,29	0	0	-0,942693268824
1,3	0	0	-4,71346634412
1,31	0	-0,048481368111	-12,7936943626
1,32	0	-0,193925472444	-25,0487068573
1,33	0	-0,678739153553	-25,1833773243
1,34	-0,0174532925199	-0,824183257886	-13,6017171645
1,35	-0,0174532925199	-0,872664625997	-8,48423941941
1,36	-0,0349065850399	-0,921145994108	-9,1575917543
1,37	-0,0349065850399	-1,01810873033	-13,3323762305
1,38	-0,0523598775598	-1,35747830711	-4,71346634412
1,39	-0,0698131700798	-1,06659009844	-0,538681867893
1,4	-0,0698131700798	-1,11507146655	-16,9684788388
1,41	-0,0872664625997	-1,55140377955	-21,277933782
1,42	-0,10471975512	-1,69684788388	-11,8510010938
1,43	-0,12217304764	-1,74532925199	-3,63610260832
1,44	-0,13962634016	-1,74532925199	3,50143214135
1,45	-0,157079632679	-1,69684788388	10,773637358
1,46	-0,174532925199	-1,55140377955	15,7564446361
1,47	-0,191986217719	-1,16355283466	0,404011400923
1,48	-0,191986217719	-1,308996939	-32,5902530079
1,49	-0,209439510239	-2,18166156499	-32,5902530079
1,5	-0,244346095279	-2,32710566933	0,404011400923
1,51	-0,261799387799	-1,93925472444	15,7564446361
1,52	-0,279252680319	-1,79381062011	10,773637358
1,53	-0,296705972839	-1,74532925199	3,50143214135
1,54	-0,314159265359	-1,74532925199	-3,63610260832
1,55	-0,331612557879	-1,79381062011	-11,7163306268
1,56	-0,349065850399	-1,93925472444	-20,3352405132
1,57	-0,366519142919	-2,37558703744	-12,3896829617
1,58	-0,401425727959	-2,37558703744	11,3123192259
1,59	-0,418879020479	-1,93925472444	15,7564446361
1,6	-0,436332312999	-1,84229198822	4,98860212398E-012
1,61	-0,453785605519	-1,93925472444	-15,7564446361
1,62	-0,471238898038	-2,37558703744	-11,3123192259
1,63	-0,506145483078	-2,37558703744	12,3896829617
1,64	-0,523598775598	-1,93925472444	20,3352405132
1,65	-0,541052068118	-1,79381062011	11,8510010938
1,66	-0,558505360638	-1,74532925199	4,57879587714
1,67	-0,575958653158	-1,74532925199	0,942693268826
1,68	-0,593411945678	-1,74532925199	0,134670466973
1,69	-0,610865238198	-1,74532925199	0,134670466975
1,7	-0,628318530718	-1,74532925199	0,942693268826
1,71	-0,645771823238	-1,74532925199	4,71346634412
1,72	-0,663225115758	-1,69684788388	12,7936943626
1,73	-0,680678408278	-1,55140377955	25,0487068573
1,74	-0,698131700798	-1,06659009844	25,1833773243
1,75	-0,698131700798	-0,921145994108	13,7363876314
1,76	-0,715584993318	-0,872664625997	9,42693268824
1,77	-0,715584993318	-0,824183257886	13,7363876314
1,78	-0,733038285838	-0,678739153553	25,1833773243
1,79	-0,733038285838	-0,193925472444	25,1833773243
1,8	-0,733038285838	-0,048481368111	13,7363876314
1,81	-0,733038285838	0	9,42693268824
1,82	-0,733038285838	0,048481368111	13,8710580984
1,83	-0,733038285838	0,193925472444	26,1260705931
1,84	-0,733038285838	0,678739153553	29,7621732014
1,85	-0,715584993318	0,872664625997	25,5873887252
1,86	-0,715584993318	1,06659009844	29,7621732014
1,87	-0,698131700798	1,55140377955	25,9914001261
1,88	-0,680678408278	1,69684788388	13,0630352966
1,89	-0,663225115758	1,74532925199	5,65615961294
1,9	-0,645771823238	1,74532925199	5,65615961294
1,91	-0,628318530718	1,79381062011	12,9283648296
1,92	-0,610865238198	1,93925472444	25,0487068573
1,93	-0,593411945678	2,42406840555	25,1833773243
1,94	-0,558505360638	2,56951250988	13,7363876314
1,95	-0,541052068118	2,61799387799	9,42693268824
1,96	-0,506145483078	2,6664752461	13,7363876314
1,97	-0,488692190558	2,81191935044	25,1833773243
1,98	-0,453785605519	3,29673303154	25,0487068573
1,99	-0,418879020479	3,44217713588	12,7936943626
2	-0,383972435439	3,49065850399	4,71346634413
2,01	-0,349065850399	3,49065850399	1,0773637358
2,02	-0,314159265359	3,49065850399	1,0773637358
2,03	-0,279252680319	3,49065850399	4,57879587715
2,04	-0,244346095279	3,5391398721	11,8510010938
2,05	-0,209439510239	3,68458397643	20,4699109802
2,06	-0,174532925199	4,12091628943	13,1977057635
2,07	-0,12217304764	4,12091628943	-7,67621661757
2,08	-0,0872664625997	3,73306534454	-8,48423941942
2,09	-0,0523598775598	3,73306534454	8,61890988639
2,1	-0,0174532925199	4,12091628943	8,61890988639
2,11	0,0349065850399	4,12091628943	-8,61890988639
2,12	0,0698131700798	3,73306534454	-8,61890988639
2,13	0,10471975512	3,73306534454	8,48423941942
2,14	0,13962634016	4,12091628943	7,67621661757
2,15	0,191986217719	4,12091628943	-13,1977057635
2,16	0,226892802759	3,68458397643	-20,4699109802
2,17	0,261799387799	3,5391398721	-11,8510010938
2,18	0,296705972839	3,49065850399	-4,71346634412
2,19	0,331612557879	3,49065850399	-1,88538653765
2,2	0,366519142919	3,49065850399	-4,71346634413
2,21	0,401425727959	3,44217713588	-11,9856715608
2,22	0,436332312999	3,29673303154	-21,412604249
2,23	0,471238898038	2,86040071855	-17,7765016407
2,24	0,488692190558	2,81191935044	-4,30945494319
2,25	0,523598775598	3,05432619099	-12,9283648296
2,26	0,558505360638	2,61799387799	-26,3954115271
2,27	0,575958653158	2,18166156499	-12,9283648296
2,28	0,593411945678	2,42406840555	-4,44412541017
2,29	0,628318530718	2,37558703744	-18,7191949095
2,3	0,645771823238	1,93925472444	-26,1260705931
2,31	0,663225115758	1,74532925199	-24,7793659234
2,32	0,680678408278	1,55140377955	-29,6275027345
2,33	0,698131700798	1,06659009844	-26,1260705931
2,34	0,698131700798	0,921145994108	-13,8710580984
2,35	0,715584993318	0,872664625997	-9,42693268825
2,36	0,715584993318	0,824183257886	-13,7363876314
2,37	0,733038285838	0,678739153553	-25,1833773243
2,38	0,733038285838	0,193925472444	-25,1833773243
2,39	0,733038285838	0,0484813681109	-13,7363876314
2,4	0,733038285838	0	-9,42693268824
2,41	0,733038285838	-0,0484813681109	-13,8710580984
2,42	0,733038285838	-0,193925472444	-26,1260705931
2,43	0,733038285838	-0,678739153553	-29,7621732014
2,44	0,715584993318	-0,872664625997	-25,5873887252
2,45	0,715584993318	-1,06659009844	-29,7621732015
2,46	0,698131700798	-1,55140377955	-25,9914001262
2,47	0,680678408278	-1,69684788388	-13,0630352966
2,48	0,663225115758	-1,74532925199	-5,65615961295
2,49	0,645771823238	-1,74532925199	-5,65615961294
2,5	0,628318530718	-1,79381062011	-12,9283648296
2,51	0,610865238198	-1,93925472444	-25,0487068573
2,52	0,593411945678	-2,42406840555	-25,1833773243
2,53	0,558505360638	-2,56951250988	-13,7363876314
2,54	0,541052068118	-2,61799387799	-9,42693268824
2,55	0,506145483078	-2,6664752461	-13,7363876314
2,56	0,488692190558	-2,81191935044	-25,1833773243
2,57	0,453785605519	-3,29673303155	-25,0487068573
2,58	0,418879020479	-3,44217713588	-12,7936943626
2,59	0,383972435439	-3,49065850399	-4,71346634412
2,6	0,349065850399	-3,49065850399	-1,0773637358
2,61	0,314159265359	-3,49065850399	-1,0773637358
2,62	0,279252680319	-3,49065850399	-4,57879587715
2,63	0,244346095279	-3,5391398721	-11,8510010938
2,64	0,209439510239	-3,68458397643	-20,4699109802
2,65	0,174532925199	-4,12091628943	-13,1977057635
2,66	0,12217304764	-4,12091628943	7,67621661757
2,67	0,0872664625997	-3,73306534454	8,48423941942
2,68	0,0523598775598	-3,73306534454	-8,61890988639
2,69	0,0174532925199	-4,12091628943	-8,61890988639
2,7	-0,0349065850399	-4,12091628943	8,61890988639
2,71	-0,0698131700798	-3,73306534454	8,61890988639
2,72	-0,10471975512	-3,73306534454	-8,48423941942
